,X.,Date_Time,Temp,Batt..V..,Coupler.Detached..,Coupler.Attached..,Stopped..,End.Of.File..,Date,Time
c..09.07.2011....17.19..,163,09/07/2011 17:19,17.534,3.6,,,,,07/09/2011,1719
c..09.07.2011....17.49..,164,09/07/2011 17:49,17.225,3.6,,,,,07/09/2011,1749
c..09.07.2011....18.19..,165,09/07/2011 18:19,17.463,3.6,,,,,07/09/2011,1819
c..09.07.2011....18.49..,166,09/07/2011 18:49,17.391,3.6,,,,,07/09/2011,1849
c..09.07.2011....19.19..,167,09/07/2011 19:19,17.225,3.6,,,,,07/09/2011,1919
c..09.07.2011....19.49..,168,09/07/2011 19:49,16.987,3.6,,,,,07/09/2011,1949
c..09.07.2011....20.19..,169,09/07/2011 20:19,16.82,3.6,,,,,07/09/2011,2019
c..09.07.2011....20.49..,170,09/07/2011 20:49,16.677,3.6,,,,,07/09/2011,2049
c..09.07.2011....21.19..,171,09/07/2011 21:19,16.606,3.6,,,,,07/09/2011,2119
c..09.07.2011....21.49..,172,09/07/2011 21:49,16.511,3.6,,,,,07/09/2011,2149
c..09.07.2011....22.19..,173,09/07/2011 22:19,16.487,3.6,,,,,07/09/2011,2219
c..09.07.2011....22.49..,174,09/07/2011 22:49,16.344,3.6,,,,,07/09/2011,2249
c..09.07.2011....23.19..,175,09/07/2011 23:19,16.296,3.6,,,,,07/09/2011,2319
c..09.07.2011....23.49..,176,09/07/2011 23:49,16.296,3.6,,,,,07/09/2011,2349
c..09.08.2011....00.19..,177,09/08/2011 00:19,16.272,3.6,,,,,08/09/2011,19
c..09.08.2011....00.49..,178,09/08/2011 00:49,16.201,3.6,,,,,08/09/2011,49
c..09.08.2011....01.19..,179,09/08/2011 01:19,16.106,3.6,,,,,08/09/2011,119
c..09.08.2011....01.49..,180,09/08/2011 01:49,16.058,3.6,,,,,08/09/2011,149
c..09.08.2011....02.19..,181,09/08/2011 02:19,15.963,3.6,,,,,08/09/2011,219
c..09.08.2011....02.49..,182,09/08/2011 02:49,15.963,3.6,,,,,08/09/2011,249
c..09.08.2011....03.19..,183,09/08/2011 03:19,15.915,3.6,,,,,08/09/2011,319
c..09.08.2011....03.49..,184,09/08/2011 03:49,15.891,3.6,,,,,08/09/2011,349
c..09.08.2011....04.19..,185,09/08/2011 04:19,15.867,3.6,,,,,08/09/2011,419
c..09.08.2011....04.49..,186,09/08/2011 04:49,15.819,3.6,,,,,08/09/2011,449
c..09.08.2011....05.19..,187,09/08/2011 05:19,15.796,3.6,,,,,08/09/2011,519
c..09.08.2011....05.49..,188,09/08/2011 05:49,15.772,3.6,,,,,08/09/2011,549
c..09.08.2011....06.19..,189,09/08/2011 06:19,15.724,3.6,,,,,08/09/2011,619
c..09.08.2011....06.49..,190,09/08/2011 06:49,15.581,3.6,,,,,08/09/2011,649
c..09.08.2011....07.19..,191,09/08/2011 07:19,15.581,3.6,,,,,08/09/2011,719
c..09.08.2011....07.49..,192,09/08/2011 07:49,15.533,3.6,,,,,08/09/2011,749
c..09.08.2011....08.19..,193,09/08/2011 08:19,15.629,3.6,,,,,08/09/2011,819
c..09.08.2011....08.49..,194,09/08/2011 08:49,15.843,3.6,,,,,08/09/2011,849
c..09.08.2011....09.19..,195,09/08/2011 09:19,16.01,3.6,,,,,08/09/2011,919
