,X.,Date_Time,Temp,Logged,X,X.1,X.2,X.3,X.4,Date,Time
c..07.29.14....11.00.38...1,163,07/29/14 11:00:38,16.201,3.57,,,,,,29/07/2014,111238
c..07.29.14....11.30.38...1,164,07/29/14 11:30:38,16.272,3.57,,,,,,29/07/2014,114238
c..07.30.14....12.00.38..,165,07/30/14 12:00:38,16.058,3.57,,,,,,30/07/2014,120038
c..07.30.14....12.30.38..,166,07/30/14 12:30:38,15.867,3.57,,,,,,30/07/2014,123038
c..07.30.14....01.00.38..,167,07/30/14 01:00:38,16.201,3.57,,,,,,30/07/2014,10038
c..07.30.14....01.30.38..,168,07/30/14 01:30:38,16.153,3.57,,,,,,30/07/2014,13038
c..07.30.14....02.00.38..,169,07/30/14 02:00:38,16.034,3.57,,,,,,30/07/2014,20038
c..07.30.14....02.30.38..,170,07/30/14 02:30:38,15.915,3.57,,,,,,30/07/2014,23038
c..07.30.14....03.00.38..,171,07/30/14 03:00:38,15.915,3.57,,,,,,30/07/2014,30038
c..07.30.14....03.30.38..,172,07/30/14 03:30:38,15.915,3.57,,,,,,30/07/2014,33038
c..07.30.14....04.00.38..,173,07/30/14 04:00:38,15.605,3.57,,,,,,30/07/2014,40038
c..07.30.14....04.30.38..,174,07/30/14 04:30:38,15.485,3.57,,,,,,30/07/2014,43038
c..07.30.14....05.00.38..,175,07/30/14 05:00:38,15.485,3.57,,,,,,30/07/2014,50038
c..07.30.14....05.30.38..,176,07/30/14 05:30:38,15.581,3.57,,,,,,30/07/2014,53038
c..07.30.14....06.00.38..,177,07/30/14 06:00:38,15.533,3.57,,,,,,30/07/2014,60038
c..07.30.14....06.30.38..,178,07/30/14 06:30:38,15.652,3.57,,,,,,30/07/2014,63038
c..07.30.14....07.00.38..,179,07/30/14 07:00:38,15.748,3.57,,,,,,30/07/2014,70038
c..07.30.14....07.30.38..,180,07/30/14 07:30:38,15.605,3.57,,,,,,30/07/2014,73038
c..07.30.14....08.00.38..,181,07/30/14 08:00:38,15.891,3.57,,,,,,30/07/2014,80038
c..07.30.14....08.30.38..,182,07/30/14 08:30:38,15.963,3.57,,,,,,30/07/2014,83038
c..07.30.14....09.00.38..,183,07/30/14 09:00:38,15.724,3.57,,,,,,30/07/2014,90038
c..07.30.14....09.30.38..,184,07/30/14 09:30:38,15.963,3.57,,,,,,30/07/2014,93038
c..07.30.14....10.00.38..,185,07/30/14 10:00:38,16.201,3.57,,,,,,30/07/2014,100038
c..07.30.14....10.30.38..,186,07/30/14 10:30:38,16.272,3.57,,,,,,30/07/2014,103038
c..07.30.14....11.00.38..,187,07/30/14 11:00:38,16.368,3.57,,,,,,30/07/2014,110038
c..07.30.14....11.30.38..,188,07/30/14 11:30:38,16.415,3.57,,,,,,30/07/2014,113038
c..07.30.14....12.00.38...1,189,07/30/14 12:00:38,16.534,3.57,,,,,,30/07/2014,121238
c..07.30.14....12.30.38...1,190,07/30/14 12:30:38,16.582,3.57,,,,,,30/07/2014,124238
c..07.30.14....01.00.38...1,191,07/30/14 01:00:38,16.487,3.57,,,,,,30/07/2014,11238
c..07.30.14....01.30.38...1,192,07/30/14 01:30:38,16.677,3.57,,,,,,30/07/2014,14238
c..07.30.14....02.00.38...1,193,07/30/14 02:00:38,16.654,3.57,,,,,,30/07/2014,21238
c..07.30.14....02.30.38...1,194,07/30/14 02:30:38,16.606,3.57,,,,,,30/07/2014,24238
c..07.30.14....03.00.38...1,195,07/30/14 03:00:38,16.558,3.57,,,,,,30/07/2014,31238
